seed,method,candidate_coverage,zero_result_rate,relevant_product_availability,recall@1,hit_rate@1,precision@1,recall@5,hit_rate@5,precision@5,recall@10,hit_rate@10,precision@10,recall@20,hit_rate@20,precision@20,recall@50,hit_rate@50,precision@50,recall@100,hit_rate@100,precision@100,mrr,map@10,map@100,ndcg@10
72,semantic_e5_small,1.0,0.0,1.0,0.12732210555396123,0.5266666666666666,0.5266666666666666,0.36338878837874966,0.7733333333333333,0.4106666666666667,0.4900901397717043,0.8533333333333334,0.32666666666666666,0.5897124989465258,0.9,0.2303333333333333,0.7181758780027835,0.94,0.12573333333333334,0.7893322973134151,0.9466666666666667,0.074,0.6412809843628168,0.37679543180077135,0.46220235714214636,0.5279080467442329
72,hybrid_weighted,1.0,0.0,1.0,0.12274099855385001,0.5533333333333333,0.5533333333333333,0.4206451780954714,0.82,0.4973333333333333,0.5879000644002866,0.9066666666666666,0.40733333333333327,0.7282206579847248,0.9533333333333334,0.2946666666666667,0.8412873430050648,0.9666666666666667,0.15813333333333332,0.9011018956858553,0.98,0.08926666666666667,0.6831051856181888,0.45722403609994045,0.5793677720929459,0.622072538287526
72,hybrid_rrf,1.0,0.0,1.0,0.12229768803295327,0.5666666666666667,0.5666666666666667,0.43201796797256586,0.8733333333333333,0.49866666666666676,0.5784645815216327,0.9133333333333333,0.3926666666666667,0.7128961488020518,0.96,0.2806666666666666,0.8491256461649824,0.9733333333333334,0.15613333333333332,0.9127149233388424,0.9866666666666667,0.08953333333333333,0.6916376187801235,0.44043678945449755,0.5581959372735982,0.6097680294556528
72,hybrid_candidate_union,1.0,0.0,1.0,0.12374099855385003,0.5666666666666667,0.5666666666666667,0.4187938809457872,0.8266666666666667,0.49200000000000005,0.5682305571289539,0.8933333333333333,0.39466666666666667,0.6898444657711718,0.9333333333333333,0.276,0.7925790692141217,0.9533333333333334,0.14493333333333336,0.8396556364835683,0.96,0.07906666666666666,0.6887179704010586,0.44846409037704,0.5487420678850968,0.6111392441199518
82,tfidf_combined_enriched,1.0,0.0,1.0,0.15158154949651428,0.5666666666666667,0.5666666666666667,0.4361160694174085,0.8533333333333334,0.4666666666666668,0.5511247062910035,0.88,0.37,0.6780925678596436,0.9,0.2816666666666667,0.8240961452683776,0.9333333333333333,0.16453333333333334,0.875375307912876,0.9533333333333334,0.09273333333333333,0.6872505757475593,0.43244658060109314,0.5677278267953733,0.6038656011156225
82,bm25_enriched_k1.2_b0.75,1.0,0.0,1.0,0.16874031177930324,0.5933333333333334,0.5933333333333334,0.4506276043327123,0.8266666666666667,0.4746666666666668,0.5608693041375489,0.8733333333333333,0.3753333333333334,0.6797708355906328,0.9,0.28400000000000003,0.7960618799430266,0.9266666666666666,0.16146666666666668,0.8332719689079143,0.94,0.08826666666666667,0.7068599376936396,0.4679098259675653,0.5961778723449254,0.6270942580119171
82,semantic_e5_small,1.0,0.0,1.0,0.1415542163015669,0.4866666666666667,0.4866666666666667,0.3735777563996448,0.7533333333333333,0.38,0.4990789625641494,0.86,0.318,0.6006512175346482,0.9066666666666666,0.23566666666666672,0.7368228037363366,0.94,0.13973333333333335,0.8141975493981353,0.9533333333333334,0.0814,0.6148993801124731,0.3669979376716532,0.4703158686301769,0.5292275109488376
82,hybrid_weighted,1.0,0.0,1.0,0.16597043838540315,0.6066666666666667,0.6066666666666667,0.43382634126430264,0.8533333333333334,0.46400000000000013,0.5482169001547144,0.8933333333333333,0.3706666666666667,0.6879401001483844,0.92,0.2826666666666667,0.8201704838658265,0.94,0.16333333333333333,0.8721708579669158,0.9533333333333334,0.09126666666666666,0.7165687742259986,0.4427260910614933,0.5763702217736455,0.6148643022313813
82,hybrid_rrf,1.0,0.0,1.0,0.18142686841058567,0.64,0.64,0.4422166056274843,0.8666666666666667,0.46133333333333343,0.5649521302579442,0.9133333333333333,0.37333333333333335,0.6882416150259746,0.9266666666666666,0.275,0.8323691971879773,0.9466666666666667,0.16160000000000002,0.8974152398976357,0.96,0.09280000000000001,0.7301044617812211,0.45563031382315616,0.5847187654939007,0.6276167068836956
82,hybrid_candidate_union,1.0,0.0,1.0,0.1706053590203238,0.6133333333333333,0.6133333333333333,0.4375122893430402,0.8533333333333334,0.46800000000000014,0.5561911752088655,0.9,0.37133333333333335,0.674477655409541,0.92,0.27666666666666667,0.7938568376775511,0.9466666666666667,0.1532,0.8402972367691298,0.96,0.08446666666666668,0.7188212431645573,0.4487180236548098,0.5659640281376752,0.6201934750208447
